venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
O2 FORUM KENTISH TOWN,O2 Forum Kentish Town,LONDON,UNITED KINGDOM,2300,2300,False,excel_pink_cell
OAKLAND ARENA,OAKLAND ARENA,"OAKLAND, CA",USA,19000,19000,False,excel_pink_cell
ORIX THEATER,Orix Theater,OSAKA,JAPAN,2400,2400,False,excel_pink_cell
OSAKA JO HALL,OSAKA JO HALL,OSAKA,JAPAN,16000,16000,False,excel_pink_cell
OTTAWA MEMORIAL AUDITORIUM,Ottawa Memorial Auditorium,OTTAWA,CANADA,830,830,False,excel_pink_cell
OVO ARENA WEMBLEY,OVO Arena Wembley,LONDON,UNITED KINGDOM,12500,12500,False,excel_pink_cell
P60,P60,AMSTERDAM,NETHERLANDS,650,650,False,excel_pink_cell
PALACIO DE LOS DEPORTES,PALACIO DE LOS DEPORTES,"MEXICO CITY, MX",MEXICO,26000,26000,False,excel_pink_cell
PALACIO VISTALEGRE,Palacio Vistalegre,MADRID,SPAIN,14000,14000,False,excel_pink_cell
PALAIS DES FESTIVALS ET DES CONGR S DE CANNES,Palais des Festivals et des Congrès de Cannes,CANNES,FRANCE,2120,2120,False,excel_pink_cell
PALAIS THEATRE,Palais Theatre,MELBOURNE,AUSTRALIA,2896,2896,False,excel_pink_cell
PALAU SANT JORDI,Palau Sant Jordi,BARCELONA,SPAIN,17000,17000,False,excel_pink_cell
PALCO MUNDO,PALCO MUNDO,RIO DE JANEIRO,BRAZIL,100000,100000,False,excel_pink_cell
PALLADIUM,Palladium,WARSAW,POLAND,620,620,False,excel_pink_cell
PARIS LA DEFENSE,Paris La Defense,PARIS,FRANCE,45000,45000,False,excel_pink_cell
PARK WEST,Park West,"CHICAGO, IL",USA,1000,1000,False,excel_pink_cell
PASADENA CIVIC AUDITORIUM,PASADENA CIVIC AUDITORIUM,"PASADENA, CA",USA,2997,2997,False,excel_pink_cell
PHENIX GRAND BALLROOM,Phenix Grand Ballroom,BANGKOK,THAILAND,2000,2000,False,excel_pink_cell
PHILIPPINES SPORTS STADIUM,Philippines Sports Stadium,BULACAN,PHILIPPINES,55000,55000,False,excel_pink_cell
POOLEN,Poolen,COPENHAGEN,DENMARK,2500,2500,False,excel_pink_cell
PROGESJA,Progesja,WARSAW,POLAND,2500,2500,False,excel_pink_cell
PROGRESJA,Progresja,WARSAW,POLAND,1100,1100,False,excel_pink_cell
PROXIMA,Proxima,WARSAW,POLAND,850,850,False,excel_pink_cell
PRUDENTIAL CENTER,PRUDENTIAL CENTER,"NEWARK, NJ",USA,16755,12823|16755,False,excel_pink_cell
PUMPEHUSET,Pumpehuset,COPENHAGEN,DENMARK,1000,1000,False,excel_pink_cell
Q FACTORY,Q Factory,AMSTERDAM,NETHERLANDS,1000,1000,False,excel_pink_cell
QUDOS BANK ARENA,QUDOS BANK ARENA,SYDNEY,AUSTRALIA,21000,16000|21000,False,excel_pink_cell
RACKET NYC,Racket NYC,"NEW YORK, NY",USA,650,650,False,excel_pink_cell
RAJAMANGALA NATIONAL STADIUM,Rajamangala National Stadium,BANGKOK,THAILAND,51552,51552,False,excel_pink_cell
RAYMOND JAMES STADIUM,RAYMOND JAMES STADIUM,"TAMPA, FL",USA,75000,75000,False,excel_pink_cell
RIALTO THEATRE,RIALTO THEATRE,MONTREAL,CANADA,1165,1165,False,excel_pink_cell
